No.,Slop_angle,Coefficient restitution,Friction Angle,ĵ_W,ĵ_B&G,ĵ_A,ĵ_R2,X_ave,X_95,X_cv,Z_ave,Z_95,Z_cv,R/T
365,60,0.1,40,0.807248973,0.440225453,0.314147679,0.572464291,54.94460038,81.21580325,0.244848945,7.873240281,21.45374505,0.817956559,0.07288439
366,60,0.1,40,0.849754169,0.447213595,0.284705017,0.509295818,49.55187353,72.96052297,0.237174193,5.277493684,11.06859805,0.785573594,0.04854911
367,60,0.1,40,0.761618473,0.333333333,0.282942121,0.565884242,41.95506804,50.53691997,0.140484422,4.535925887,12.48104506,0.778435249,0.02101217
368,60,0.1,40,0.798975017,0.421075961,0.549819004,0.840001313,58.81918825,89.77205293,0.328443919,9.789972347,29.8024848,0.847904908,0.07174052
369,60,0.1,40,0.836593725,0.447213595,0.569410035,0.821174538,47.95104104,76.58526398,0.306621264,6.094260052,21.15160412,0.966629762,0.05702306
370,60,0.1,40,0.718516797,0.301511345,0.157048432,0.405121673,39.59896304,46.71955077,0.093053159,4.672694483,10.90960933,0.80452428,0.01492104
371,60,0.1,40,0.752255969,0.313727903,0.170552898,0.408827807,48.73791979,71.26097893,0.236386081,5.919246791,15.29172631,0.764172665,0.04333338
372,60,0.1,40,0.784225984,0.316227766,0.150987636,0.361564983,45.40245508,71.58947341,0.254607142,5.051661339,11.55495867,0.752462427,0.03770091
373,60,0.1,40,0.725820022,0.267261242,0.218756303,0.50020125,42.63255437,55.35315699,0.133087772,6.1029825,14.8103698,0.725263764,0.02549
374,60,0.1,40,0.757902263,0.30656967,0.318285768,0.615080006,46.77934312,74.31166482,0.278603179,6.797164839,14.72306747,0.887305362,0.04846282
375,60,0.1,40,0.785582178,0.316227766,0.301975273,0.572957795,40.99356005,59.85545029,0.305225862,4.392031284,13.79514485,1.091157663,0.03455
376,60,0.1,40,0.697468411,0.229415734,0.207545578,0.502594557,41.32189204,54.00509889,0.18450813,6.057582522,12.7875016,0.650814767,0.02283341
377,60,0.1,40,0.724535006,0.295656198,0.428234729,0.784142904,45.67953823,75.34709866,0.322870118,7.166642741,16.08542338,0.75563762,0.04613
378,60,0.1,40,0.742659835,0.316227766,0.452962909,0.794179167,42.16223535,78.91050807,0.390758104,5.090464971,16.84053388,1.038390989,0.03697941
379,60,0.3,20,0.805995977,0.577350269,0.367552597,0.636619772,65.60282015,80.91543174,0.156869559,10.23680608,20.63047056,0.475415096,0.02875219
380,60,0.3,20,0.851298292,0.680413817,0.579959658,0.816927334,88.19188456,140.0135366,0.334578724,16.21949125,42.73817645,0.799683692,0.05629527
381,60,0.3,20,0.904997185,0.707106781,0.562697698,0.753129277,68.3662178,95.95588583,0.295886121,10.44493838,26.61425786,0.780699201,0.04297484
382,60,0.3,20,0.767663317,0.40824829,0.259898934,0.530516477,55.96081178,65.88288321,0.125167573,11.95654089,27.25983789,0.614667242,0.02212405
383,60,0.3,20,0.807248973,0.440225453,0.314147679,0.572464291,59.53062192,80.82067779,0.244993784,11.13287208,22.32512966,0.659680512,0.04667838
384,60,0.3,20,0.849754169,0.447213595,0.284705017,0.509295818,55.9159494,77.35088867,0.229308584,9.720908845,24.61525264,0.761236452,0.03493949
385,60,0.3,20,0.761618473,0.333333333,0.282942121,0.565884242,51.61482889,60.75863831,0.119007286,9.9587767,19.74308612,0.552730236,0.02132911
386,60,0.3,20,0.798975017,0.421075961,0.549819004,0.840001313,56.50588349,91.27300166,0.324716375,9.793307065,31.63295549,0.819862862,0.03467069
387,60,0.3,20,0.836593725,0.447213595,0.569410035,0.821174538,58.40388229,82.78335697,0.224927752,7.775033993,18.86929037,0.810369756,0.03253081
